date,runId,phase,module,totalScenarios,passed,failed,defectDensity
2026-06-16,1,sanity,validation,1,1,0,0
2026-06-16,2,sanity,auth,2,2,0,0
2026-06-16,2,sanity,datadriven,3,3,0,0
2026-06-16,2,sanity,graphql,4,4,0,0
2026-06-16,2,sanity,headers,1,1,0,0
2026-06-16,2,sanity,posts,0,0,0,0
2026-06-16,2,sanity,users,1,1,0,0
2026-06-16,2,sanity,validation,1,1,0,0
2026-06-16,2,sanity,websocket,3,3,0,0
2026-06-16,3,regression,auth,2,2,0,0
2026-06-16,3,regression,datadriven,3,3,0,0
2026-06-16,3,regression,graphql,12,12,0,0
2026-06-16,3,regression,headers,1,1,0,0
2026-06-16,3,regression,posts,0,0,0,0
2026-06-16,3,regression,retry,3,3,0,0
2026-06-16,3,regression,reusable,1,1,0,0
2026-06-16,3,regression,validation,1,1,0,0
2026-06-16,3,regression,websocket,6,5,1,16.67
